"S/N","English ","Arabic ","Meaning "
"72 ","Iram ","??? ","The Paradise of Shadad, Eden. "
"73 ","Irem ","","A Garden in Heaven "
"74 ","Irfana ","?????? ","Believer. "
"75 ","Irtiza ","?????? ","Contentment, approval. "
"76 ","Isa ","","Spacious, generous "
"77 ","Isad ","????? ","Making happy of prosperous, blessing. "
"78 ","Isaf ","","Relief, help "
"79 ","Isar ","????? ","Fascinating. "
"80 ","Isha ","","Night Prayer. "
"81 ","Ishfaq ","","Compassion, affection "
"82 ","Ishraq ","????? ","Brilliance, radiance, shining. "
"83 ","Ishrat ","???? ","Pleasure, enjoyment, delight. "
"84 ","Ishrat Jahan ","???? ???? ","Delightful world "
"85 ","Isir ","","Inspiritional, strong. "
"86 ","Islah ","????? ","Making right, making good, improvement, betterment. "
"87 ","Isma ","","Safeguarding. "
"88 ","Ismah, Ismat ","","Purity, modesty, infallibility "
"89 ","Ismat ","???? ","Purity, honour, protection, chastity, modesty. "
"90 ","Ismat-Ara ","???? ??? ","Decorator of modesty "
"91 ","Isood ","???? ","A woman of delicate body. "
"92 ","Isra ","???? ","Walking in the night, Journeys by night.Name of Sura in Quran also known as Bani Israil "
"93 ","Istabraq ","?????? ","Brocade. "
"94 ","Istilah ","?????? ","Agreement. "
"95 ","Itab ","","Censure "
"96 ","Itaf ","","Clock "
"97 ","Ithar ","","Preference "
"98 ","Itidal ","?????? ","Moderateness, moderation, mildness, rectitude. "
"99 ","Itimad ","?????? ","Reliance, dependence. "
"100 ","Itrat ","???? ","Lineage, descendants of Holy Prophet (PBUH). "
"101 ","Izahet ","????? ","Completing the work, Finishing the task. "
"102 ","Izaz ","????? ","Honour, esteem, regard, affection. "
"103 ","Izdihar ","?????? ","Prosperity, flourishing, bloom, blossoming. "
"104 ","Izdihar, Izdihaar ","","Flourishing, blossoming "
"105 ","Izma ","????? ","Higher poistion, Esteemed previledge & honour. "
"106 ","Izz ","?? ","The daughter of al-Haytam Muhammad bin al-Haysam was so named. "
"107 ","Izz an-Nisa ","","She was a narrator of Hadith. "
"108 ","Izza an-Nisa ","???????? ","She was the daughter of Muhammad bin Abdul Aziz bin Ali bin Hibbat Allah bin Khuldoon. She narrated hadith. "
"109 ","Izzah ","","Might, power "
"110 ","Izzah (Izzat) ","","Slave girl. The daughter of Umar bin Mumal was named Jariyah. Before he had become a Muslim, she was the slave of Umar (R.A) and he used to trash her very harshly that she might revoke Islam but she did not and finally he himself became a Muslim. "
"111 ","Izzat ","??? ","Honor; esteem, integrity. "
